Date,Fuel Category,Generation (MWh),Marginal Flag
01-01 00:00,Coal,10.555555555555555,No
01-01 00:00,Hydro,849.2222222222222,No
01-01 00:00,Landfill Gas,22.444444444444443,No
01-01 00:00,Natural Gas,4658.444444444444,Yes
01-01 00:00,Nuclear,2118.222222222222,No
01-01 00:00,Other,10.0,No
01-01 00:00,Refuse,336.0,No
01-01 00:00,Wind,785.0,No
01-01 00:00,Wood,332.44444444444446,No
01-01 01:00,Coal,12.181818181818182,No
01-01 01:00,Hydro,851.9090909090909,No
01-01 01:00,Landfill Gas,24.0,No
01-01 01:00,Natural Gas,4976.0,Yes
01-01 01:00,Nuclear,2118.0,No
01-01 01:00,Other,11.0,No
01-01 01:00,Refuse,335.27272727272725,No
01-01 01:00,Wind,768.0909090909091,No
01-01 01:00,Wood,331.90909090909093,No
01-01 02:00,Coal,12.375,No
01-01 02:00,Hydro,822.25,No
01-01 02:00,Landfill Gas,24.0,No
01-01 02:00,Natural Gas,4754.0,Yes
01-01 02:00,Nuclear,2118.125,No
01-01 02:00,Other,11.5,No
01-01 02:00,Refuse,338.375,No
01-01 02:00,Wind,737.875,No
01-01 02:00,Wood,330.25,No
01-01 03:00,Coal,15.363636363636363,No
01-01 03:00,Hydro,827.8181818181819,No
01-01 03:00,Landfill Gas,24.0,No
01-01 03:00,Natural Gas,4900.909090909091,Yes
01-01 03:00,Nuclear,2117.6363636363635,No
01-01 03:00,Other,3.0,No
01-01 03:00,Refuse,337.45454545454544,No
01-01 03:00,Wind,690.8181818181819,No
01-01 03:00,Wood,331.27272727272725,No
01-01 04:00,Coal,17.0,No
01-01 04:00,Hydro,872.3333333333334,No
01-01 04:00,Landfill Gas,24.0,No
01-01 04:00,Natural Gas,5018.333333333333,Yes
01-01 04:00,Nuclear,2118.1666666666665,No
01-01 04:00,Other,1.3333333333333333,No
01-01 04:00,Refuse,336.5,No
01-01 04:00,Wind,686.3333333333334,No
01-01 04:00,Wood,331.0,No
01-01 05:00,Coal,17.11111111111111,No
01-01 05:00,Hydro,868.0,No
01-01 05:00,Landfill Gas,23.77777777777778,No
01-01 05:00,Natural Gas,5016.555555555556,Yes
01-01 05:00,Nuclear,2118.3333333333335,No
01-01 05:00,Other,9.666666666666666,No
01-01 05:00,Refuse,339.22222222222223,No
01-01 05:00,Wind,615.6666666666666,No
01-01 05:00,Wood,331.55555555555554,No
01-01 06:00,Coal,17.166666666666668,No
01-01 06:00,Hydro,880.5,No
01-01 06:00,Landfill Gas,23.833333333333332,No
01-01 06:00,Natural Gas,5395.0,Yes
01-01 06:00,Nuclear,2118.5,No
01-01 06:00,Other,12.2,No
01-01 06:00,Refuse,340.0,No
01-01 06:00,Wind,557.6666666666666,No
01-01 06:00,Wood,330.1666666666667,No
01-01 07:00,Coal,18.0,No
01-01 07:00,Hydro,1146.2,No
01-01 07:00,Landfill Gas,19.8,No
01-01 07:00,Natural Gas,5436.0,Yes
01-01 07:00,Nuclear,2118.6,No
01-01 07:00,Refuse,339.2,No
01-01 07:00,Solar,7.4,No
01-01 07:00,Wind,425.8,No
01-01 07:00,Wood,331.2,No
01-01 08:00,Coal,16.857142857142858,No
01-01 08:00,Hydro,961.5714285714286,No
01-01 08:00,Landfill Gas,23.857142857142858,No
01-01 08:00,Natural Gas,5216.0,Yes
01-01 08:00,Nuclear,2117.714285714286,No
01-01 08:00,Other,10.0,No
01-01 08:00,Refuse,342.57142857142856,No
01-01 08:00,Solar,68.28571428571429,No
01-01 08:00,Wind,359.2857142857143,No
01-01 08:00,Wood,331.0,No
01-01 09:00,Coal,15.4,No
01-01 09:00,Hydro,895.0,No
01-01 09:00,Landfill Gas,24.0,No
01-01 09:00,Natural Gas,5225.2,Yes
01-01 09:00,Nuclear,2117.6,No
01-01 09:00,Refuse,340.4,No
01-01 09:00,Solar,133.0,No
01-01 09:00,Wind,327.8,No
01-01 09:00,Wood,329.8,No
01-01 10:00,Coal,18.25,No
01-01 10:00,Hydro,930.5,No
01-01 10:00,Landfill Gas,24.0,No
01-01 10:00,Natural Gas,5207.0,Yes
01-01 10:00,Nuclear,2118.5,No
01-01 10:00,Other,0.5,No
01-01 10:00,Refuse,341.5,No
01-01 10:00,Solar,189.5,No
01-01 10:00,Wind,255.75,No
01-01 10:00,Wood,329.5,No
01-01 11:00,Coal,12.666666666666666,No
01-01 11:00,Hydro,894.0,No
01-01 11:00,Landfill Gas,24.0,No
01-01 11:00,Natural Gas,5537.333333333333,Yes
01-01 11:00,Nuclear,2118.3333333333335,No
01-01 11:00,Other,1.3333333333333333,No
01-01 11:00,Refuse,342.6666666666667,No
01-01 11:00,Solar,167.66666666666666,No
01-01 11:00,Wind,208.0,No
01-01 11:00,Wood,330.6666666666667,No
01-01 12:00,Coal,11.0,No
01-01 12:00,Hydro,902.75,No
01-01 12:00,Landfill Gas,24.0,No
01-01 12:00,Natural Gas,5790.75,Yes
01-01 12:00,Nuclear,2118.0,No
01-01 12:00,Other,18.0,No
01-01 12:00,Refuse,340.25,No
01-01 12:00,Solar,143.75,No
01-01 12:00,Wind,165.75,No
01-01 12:00,Wood,331.25,No
01-01 13:00,Coal,13.0,No
01-01 13:00,Hydro,905.0,No
01-01 13:00,Landfill Gas,24.0,No
01-01 13:00,Natural Gas,6576.0,Yes
01-01 13:00,Nuclear,2118.2,No
01-01 13:00,Other,10.5,No
01-01 13:00,Refuse,340.0,No
01-01 13:00,Solar,86.2,No
01-01 13:00,Wind,92.8,No
01-01 13:00,Wood,331.4,No
01-01 14:00,Coal,18.0,No
01-01 14:00,Hydro,905.4,No
01-01 14:00,Landfill Gas,24.0,No
01-01 14:00,Natural Gas,6711.8,Yes
01-01 14:00,Nuclear,2118.4,No
01-01 14:00,Other,16.0,No
01-01 14:00,Refuse,339.6,No
01-01 14:00,Solar,50.6,No
01-01 14:00,Wind,69.6,No
01-01 14:00,Wood,323.6,No
01-01 15:00,Coal,15.666666666666666,No
01-01 15:00,Hydro,939.3333333333334,No
01-01 15:00,Landfill Gas,24.0,No
01-01 15:00,Natural Gas,7268.0,Yes
01-01 15:00,Nuclear,2117.6666666666665,No
01-01 15:00,Other,11.8,No
01-01 15:00,Refuse,343.1666666666667,No
01-01 15:00,Solar,19.166666666666668,No
01-01 15:00,Wind,50.5,No
