"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",27314.3
"Jan 1, 08:00 am",122303
"Jan 1, 09:00 am",255700
"Jan 1, 10:00 am",238385
"Jan 1, 11:00 am",578975
"Jan 1, 12:00 pm",473863
"Jan 1, 01:00 pm",532167
"Jan 1, 02:00 pm",825978
"Jan 1, 03:00 pm",830692
"Jan 1, 04:00 pm",830692
"Jan 1, 05:00 pm",742048
"Jan 1, 06:00 pm",830692
"Jan 1, 07:00 pm",830692
"Jan 1, 08:00 pm",830692
"Jan 1, 09:00 pm",830692
"Jan 1, 10:00 pm",830692
"Jan 1, 11:00 pm",830692
"Jan 2, 12:00 am",830692
"Jan 2, 01:00 am",830692
"Jan 2, 02:00 am",830692
"Jan 2, 03:00 am",830692
"Jan 2, 04:00 am",830692
"Jan 2, 05:00 am",695464
"Jan 2, 06:00 am",273389
"Jan 2, 07:00 am",163064
"Jan 2, 08:00 am",150361
"Jan 2, 09:00 am",202740
"Jan 2, 10:00 am",114198
"Jan 2, 11:00 am",47302.9
"Jan 2, 12:00 pm",35017.2
"Jan 2, 01:00 pm",36425.1
"Jan 2, 02:00 pm",129245
"Jan 2, 03:00 pm",80736.7
"Jan 2, 04:00 pm",50520.2
"Jan 2, 05:00 pm",137947
"Jan 2, 06:00 pm",170152
"Jan 2, 07:00 pm",156740
"Jan 2, 08:00 pm",177019
"Jan 2, 09:00 pm",348837
"Jan 2, 10:00 pm",338423
"Jan 2, 11:00 pm",489099
"Jan 3, 12:00 am",563646
"Jan 3, 01:00 am",669594
"Jan 3, 02:00 am",827490
"Jan 3, 03:00 am",830692
"Jan 3, 04:00 am",830692
"Jan 3, 05:00 am",829224
"Jan 3, 06:00 am",828570
"Jan 3, 07:00 am",830692
"Jan 3, 08:00 am",830692
"Jan 3, 09:00 am",830692
"Jan 3, 10:00 am",830692
"Jan 3, 11:00 am",830692
"Jan 3, 12:00 pm",830692
"Jan 3, 01:00 pm",830692
"Jan 3, 02:00 pm",830692
"Jan 3, 03:00 pm",830692
"Jan 3, 04:00 pm",830692
"Jan 3, 05:00 pm",830692
"Jan 3, 06:00 pm",830692
"Jan 3, 07:00 pm",830692
"Jan 3, 08:00 pm",830692
"Jan 3, 09:00 pm",830692
"Jan 3, 10:00 pm",806684
"Jan 3, 11:00 pm",356189
"Jan 4, 12:00 am",541393
"Jan 4, 01:00 am",589880
"Jan 4, 02:00 am",830692
"Jan 4, 03:00 am",830692
"Jan 4, 04:00 am",830692
"Jan 4, 05:00 am",830692
"Jan 4, 06:00 am",830692
"Jan 4, 07:00 am",830692
"Jan 4, 08:00 am",700821
"Jan 4, 09:00 am",271189
"Jan 4, 10:00 am",172051
"Jan 4, 11:00 am",321670
"Jan 4, 12:00 pm",205201
"Jan 4, 01:00 pm",458811
"Jan 4, 02:00 pm",285386
"Jan 4, 03:00 pm",63275.6
"Jan 4, 04:00 pm",264795
"Jan 4, 05:00 pm",344825
"Jan 4, 06:00 pm",366495
"Jan 4, 07:00 pm",564436
"Jan 4, 08:00 pm",650777
"Jan 4, 09:00 pm",450232
"Jan 4, 10:00 pm",303522
"Jan 4, 11:00 pm",280238
"Jan 5, 12:00 am",125772
"Jan 5, 01:00 am",119049
"Jan 5, 02:00 am",122677
"Jan 5, 03:00 am",106852
"Jan 5, 04:00 am",76794.9
"Jan 5, 05:00 am",94036.6
"Jan 5, 06:00 am",117049
"Jan 5, 07:00 am",125310
"Jan 5, 08:00 am",281334
"Jan 5, 09:00 am",450864
"Jan 5, 10:00 am",399439
