Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-01 00:00,0.0,850.537,850.537,0.0,False
01-01 01:00,0.0,850.5369999999999,850.5369999999999,0.0,False
01-01 02:00,0.0,850.537,850.537,0.0,False
01-01 03:00,0.0,850.537,850.537,0.0,False
01-01 04:00,0.0,850.5370000000001,850.5370000000001,0.0,False
01-01 05:00,0.0,850.537,850.537,0.0,False
01-01 06:00,0.0,850.537,850.537,0.0,False
01-01 07:00,27.3143,850.537,850.537,23231.8227791,False
01-01 08:00,122.303,850.5370000000001,850.5370000000001,104023.22671100001,False
01-01 09:00,255.7,850.537,850.537,217482.3109,False
01-01 10:00,238.385,850.537,850.537,202755.262745,False
01-01 11:00,578.975,850.537,850.537,492439.65957500006,False
01-01 12:00,473.863,850.537,850.537,403038.014431,False
01-01 13:00,532.167,850.537,850.537,452627.72367900005,False
01-01 14:00,825.978,850.537,850.537,702524.850186,False
01-01 15:00,830.692,850.537,850.537,706534.281604,False
01-01 16:00,830.692,850.537,850.537,706534.281604,False
01-01 17:00,742.048,850.537,850.537,631139.2797760001,False
01-01 18:00,830.692,850.537,850.537,706534.281604,False
01-01 19:00,830.692,850.537,850.537,706534.281604,False
01-01 20:00,830.692,850.537,850.537,706534.281604,False
01-01 21:00,830.692,850.537,850.537,706534.281604,False
01-01 22:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-01 23:00,830.692,850.537,850.537,706534.281604,False
01-02 00:00,830.692,850.537,850.537,706534.281604,False
01-02 01:00,830.692,850.537,850.537,706534.281604,False
01-02 02:00,830.692,850.537,850.537,706534.281604,False
01-02 03:00,830.692,850.537,850.537,706534.281604,False
01-02 04:00,830.692,850.537,850.537,706534.281604,False
01-02 05:00,695.464,850.537,850.537,591517.8641680001,False
01-02 06:00,273.389,850.537,850.537,232527.45989300002,False
01-02 07:00,163.064,850.537,850.537,138691.965368,False
01-02 08:00,150.361,850.5369999999999,850.5369999999999,127887.59385699999,False
01-02 09:00,202.74,850.537,850.537,172437.87138000003,False
01-02 10:00,114.198,850.5369999999999,850.5369999999999,97129.62432599999,False
01-02 11:00,47.3029,850.537,850.537,40232.8666573,False
01-02 12:00,35.017199999999995,779.5259148018486,779.5259148018486,27296.81486379929,False
01-02 13:00,36.4251,850.537,850.537,30980.8952787,False
01-02 14:00,129.245,850.537,850.537,109927.654565,False
01-02 15:00,80.7367,850.537,850.537,68669.5506079,False
01-02 16:00,50.520199999999996,850.537,850.537,42969.299347399996,False
01-02 17:00,137.947,850.537,850.537,117329.027539,False
01-02 18:00,170.152,850.537,850.537,144720.571624,False
01-02 19:00,156.74,850.537,850.537,133313.16938,False
01-02 20:00,177.019,850.537,850.537,150561.209203,False
01-02 21:00,348.837,850.537,850.537,296698.775469,False
01-02 22:00,338.423,850.537,850.537,287841.28315100004,False
01-02 23:00,489.099,850.537,850.537,415996.796163,False
01-03 00:00,563.646,850.537,850.537,479401.777902,False
01-03 01:00,669.594,850.537,850.537,569514.471978,False
01-03 02:00,827.49,850.537,850.537,703810.86213,False
01-03 03:00,830.692,850.537,850.537,706534.281604,False
01-03 04:00,830.692,850.537,850.537,706534.281604,False
01-03 05:00,829.224,850.537,850.537,705285.6932880001,False
01-03 06:00,828.57,850.537,850.537,704729.44209,False
01-03 07:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-03 08:00,830.692,850.537,850.537,706534.281604,False
01-03 09:00,830.692,850.537,850.537,706534.281604,False
01-03 10:00,830.692,850.537,850.537,706534.281604,False
01-03 11:00,830.692,850.537,850.537,706534.281604,False
01-03 12:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-03 13:00,830.692,850.537,850.537,706534.281604,False
01-03 14:00,830.692,850.537,850.537,706534.281604,False
01-03 15:00,830.692,850.537,850.537,706534.281604,False
01-03 16:00,830.692,850.537,850.537,706534.281604,False
01-03 17:00,830.692,850.537,850.537,706534.281604,False
01-03 18:00,830.692,0.0,0.0,0.0,False
01-03 19:00,830.692,850.537,850.537,706534.281604,False
01-03 20:00,830.692,850.537,850.537,706534.281604,False
01-03 21:00,830.692,850.537,850.537,706534.281604,False
01-03 22:00,806.684,850.537,850.537,686114.589308,False
01-03 23:00,356.189,850.537,850.537,302951.92349300004,False
01-04 00:00,541.393,850.537,850.537,460474.77804100007,False
01-04 01:00,589.88,850.537,850.537,501714.76556,False
01-04 02:00,830.692,850.537,850.537,706534.281604,False
01-04 03:00,830.692,850.537,850.537,706534.281604,False
01-04 04:00,830.692,850.537,850.537,706534.281604,False
01-04 05:00,830.692,850.537,850.537,706534.281604,False
01-04 06:00,830.692,850.537,850.537,706534.281604,False
01-04 07:00,830.692,850.537,850.537,706534.281604,False
01-04 08:00,700.821,850.537,850.537,596074.1908770001,False
01-04 09:00,271.189,850.537,850.537,230656.27849300002,False
01-04 10:00,172.051,850.537,850.537,146335.741387,False
01-04 11:00,321.67,850.537,850.537,273592.23679000005,False
01-04 12:00,205.201,850.537,850.537,174531.042937,False
01-04 13:00,458.811,850.537,850.537,390235.731507,False
01-04 14:00,285.386,850.537,850.537,242731.35228200004,False
01-04 15:00,63.2756,850.537,850.537,53818.2389972,False
01-04 16:00,264.795,850.537,850.537,225217.94491500003,False
01-04 17:00,344.825,850.537,850.537,293286.421025,False
01-04 18:00,366.495,850.537,850.537,311717.557815,False
01-04 19:00,564.436,850.537,850.537,480073.70213200006,False
01-04 20:00,650.777,850.537,850.537,553509.917249,False
01-04 21:00,450.232,850.537,850.537,382938.974584,False
01-04 22:00,303.522,850.537,850.537,258156.691314,False
01-04 23:00,280.238,850.537,850.537,238352.787806,False
01-05 00:00,125.772,850.5369999999999,850.5369999999999,106973.73956399999,False
01-05 01:00,119.049,850.537,850.537,101255.57931300001,False
01-05 02:00,122.677,850.537,850.537,104341.32754900001,False
01-05 03:00,106.852,850.537,850.537,90881.579524,False
01-05 04:00,76.7949,850.537,850.537,65316.9038613,False
01-05 05:00,94.0366,850.537,850.537,79981.60765420001,False
01-05 06:00,117.049,850.5370000000001,850.5370000000001,99554.50531300002,False
01-05 07:00,125.31,850.537,850.537,106580.79147000001,False
01-05 08:00,281.334,850.537,850.537,239284.976358,False
01-05 09:00,450.864,850.537,850.537,383476.513968,False
01-05 10:00,399.439,850.537,850.537,339737.64874300006,False
01-05 11:00,292.122,850.537,850.537,248460.56951400003,False
01-05 12:00,136.197,850.537,850.537,115840.58778900001,False
01-05 13:00,63.3965,850.537,850.537,53921.0689205,False
01-05 14:00,37.9883,850.537,850.537,32310.454717100005,False
01-05 15:00,31.208,850.537,850.537,26543.558696,False
01-05 16:00,5.760140000000001,850.537,850.537,4899.212195180001,False
01-05 17:00,39.6505,850.537,850.537,33724.2173185,False
01-05 18:00,73.1088,850.537,850.537,62181.739425600004,False
01-05 19:00,110.054,850.537,850.537,93604.99899800001,False
01-05 20:00,400.979,850.537,850.537,341047.475723,False
01-05 21:00,556.639,850.537,850.537,473442.06514300004,False
01-05 22:00,630.333,850.5370000000001,850.5370000000001,536121.538821,False
01-05 23:00,830.018,850.537,850.537,705961.019666,False
01-06 00:00,830.692,850.537,850.537,706534.281604,False
01-06 01:00,830.692,781.5401440735332,781.5401440735332,649219.1453607314,False
01-06 02:00,830.692,772.2238267017428,772.2238267017428,641480.1550505242,False
