Date,Fuel Category,Generation (MWh),Marginal Flag,Emissions Rate (lbs CO2/MWh),Emissions (lbs CO2)
01-01 00:00,Coal,10.555555555555555,No,2277.021,24035.221666666668
01-01 00:00,Hydro,849.2222222222222,No,0.0,0.0
01-01 00:00,Landfill Gas,22.444444444444443,No,0.0,0.0
01-01 00:00,Natural Gas,4658.444444444444,Yes,850.537,3962179.3624444446
01-01 00:00,Nuclear,2118.222222222222,No,0.0,0.0
01-01 00:00,Other,10.0,No,0.0,0.0
01-01 00:00,Refuse,336.0,No,0.0,0.0
01-01 00:00,Wind,785.0,No,0.0,0.0
01-01 00:00,Wood,332.44444444444446,No,0.0,0.0
01-01 01:00,Coal,12.181818181818182,No,2277.021,27738.25581818182
01-01 01:00,Hydro,851.9090909090909,No,0.0,0.0
01-01 01:00,Landfill Gas,24.0,No,0.0,0.0
01-01 01:00,Natural Gas,4976.0,Yes,850.537,4232272.112
01-01 01:00,Nuclear,2118.0,No,0.0,0.0
01-01 01:00,Other,11.0,No,0.0,0.0
01-01 01:00,Refuse,335.27272727272725,No,0.0,0.0
01-01 01:00,Wind,768.0909090909091,No,0.0,0.0
01-01 01:00,Wood,331.90909090909093,No,0.0,0.0
01-01 02:00,Coal,12.375,No,2277.021,28178.134875000003
01-01 02:00,Hydro,822.25,No,0.0,0.0
01-01 02:00,Landfill Gas,24.0,No,0.0,0.0
01-01 02:00,Natural Gas,4754.0,Yes,850.537,4043452.898
01-01 02:00,Nuclear,2118.125,No,0.0,0.0
01-01 02:00,Other,11.5,No,0.0,0.0
01-01 02:00,Refuse,338.375,No,0.0,0.0
01-01 02:00,Wind,737.875,No,0.0,0.0
01-01 02:00,Wood,330.25,No,0.0,0.0
01-01 03:00,Coal,15.363636363636363,No,2277.021,34983.322636363635
01-01 03:00,Hydro,827.8181818181819,No,0.0,0.0
01-01 03:00,Landfill Gas,24.0,No,0.0,0.0
01-01 03:00,Natural Gas,4900.909090909091,Yes,850.537,4168404.5154545456
01-01 03:00,Nuclear,2117.6363636363635,No,0.0,0.0
01-01 03:00,Other,3.0,No,0.0,0.0
01-01 03:00,Refuse,337.45454545454544,No,0.0,0.0
01-01 03:00,Wind,690.8181818181819,No,0.0,0.0
01-01 03:00,Wood,331.27272727272725,No,0.0,0.0
01-01 04:00,Coal,17.0,No,2277.021,38709.357
01-01 04:00,Hydro,872.3333333333334,No,0.0,0.0
01-01 04:00,Landfill Gas,24.0,No,0.0,0.0
01-01 04:00,Natural Gas,5018.333333333333,Yes,850.537,4268278.178333334
01-01 04:00,Nuclear,2118.1666666666665,No,0.0,0.0
01-01 04:00,Other,1.3333333333333333,No,0.0,0.0
01-01 04:00,Refuse,336.5,No,0.0,0.0
01-01 04:00,Wind,686.3333333333334,No,0.0,0.0
01-01 04:00,Wood,331.0,No,0.0,0.0
01-01 05:00,Coal,17.11111111111111,No,2277.021,38962.359333333334
01-01 05:00,Hydro,868.0,No,0.0,0.0
01-01 05:00,Landfill Gas,23.77777777777778,No,0.0,0.0
01-01 05:00,Natural Gas,5016.555555555556,Yes,850.537,4266766.112555556
01-01 05:00,Nuclear,2118.333333333333,No,0.0,0.0
01-01 05:00,Other,9.666666666666666,No,0.0,0.0
01-01 05:00,Refuse,339.22222222222223,No,0.0,0.0
01-01 05:00,Wind,615.6666666666666,No,0.0,0.0
01-01 05:00,Wood,331.55555555555554,No,0.0,0.0
01-01 06:00,Coal,17.166666666666668,No,2277.021,39088.8605
01-01 06:00,Hydro,880.5,No,0.0,0.0
01-01 06:00,Landfill Gas,23.83333333333333,No,0.0,0.0
01-01 06:00,Natural Gas,5395.0,Yes,850.537,4588647.115
01-01 06:00,Nuclear,2118.5,No,0.0,0.0
01-01 06:00,Other,12.2,No,0.0,0.0
01-01 06:00,Refuse,340.0,No,0.0,0.0
01-01 06:00,Wind,557.6666666666666,No,0.0,0.0
01-01 06:00,Wood,330.1666666666667,No,0.0,0.0
01-01 07:00,Coal,18.0,No,2277.021,40986.378000000004
01-01 07:00,Hydro,1146.2,No,0.0,0.0
01-01 07:00,Landfill Gas,19.8,No,0.0,0.0
01-01 07:00,Natural Gas,5436.0,Yes,850.537,4623519.132
01-01 07:00,Nuclear,2118.6,No,0.0,0.0
01-01 07:00,Refuse,339.2,No,0.0,0.0
01-01 07:00,Solar,7.4,No,0.0,0.0
01-01 07:00,Wind,425.8,No,0.0,0.0
01-01 07:00,Wood,331.2,No,0.0,0.0
01-01 08:00,Coal,16.857142857142858,No,2277.021,38384.06828571429
01-01 08:00,Hydro,961.5714285714286,No,0.0,0.0
01-01 08:00,Landfill Gas,23.857142857142858,No,0.0,0.0
01-01 08:00,Natural Gas,5216.0,Yes,850.537,4436400.992000001
01-01 08:00,Nuclear,2117.714285714286,No,0.0,0.0
01-01 08:00,Other,10.0,No,0.0,0.0
01-01 08:00,Refuse,342.57142857142856,No,0.0,0.0
01-01 08:00,Solar,68.28571428571429,No,0.0,0.0
01-01 08:00,Wind,359.2857142857143,No,0.0,0.0
01-01 08:00,Wood,331.0,No,0.0,0.0
01-01 09:00,Coal,15.4,No,2277.021,35066.123400000004
01-01 09:00,Hydro,895.0,No,0.0,0.0
01-01 09:00,Landfill Gas,24.0,No,0.0,0.0
01-01 09:00,Natural Gas,5225.2,Yes,850.537,4444225.9324
01-01 09:00,Nuclear,2117.6,No,0.0,0.0
