Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Curtailed
01-01 00:00,0.0,850.537,850.537,False
01-01 01:00,0.0,850.5369999999999,850.5369999999999,False
01-01 02:00,0.0,850.537,850.537,False
01-01 03:00,0.0,850.537,850.537,False
01-01 04:00,0.0,850.5370000000001,850.5370000000001,False
01-01 05:00,0.0,850.537,850.537,False
01-01 06:00,0.0,850.537,850.537,False
01-01 07:00,27.3143,850.537,850.537,False
01-01 08:00,122.303,850.5370000000001,850.5370000000001,False
01-01 09:00,255.7,850.537,850.537,False
01-01 10:00,238.385,850.537,850.537,False
01-01 11:00,578.975,850.537,850.537,False
01-01 12:00,473.863,850.537,850.537,False
01-01 13:00,532.167,850.537,850.537,False
01-01 14:00,825.978,850.537,850.537,False
01-01 15:00,830.692,850.537,850.537,False
01-01 16:00,830.692,850.537,850.537,False
01-01 17:00,742.048,850.537,850.537,False
01-01 18:00,830.692,850.537,850.537,False
01-01 19:00,830.692,850.537,850.537,False
01-01 20:00,830.692,850.537,850.537,False
01-01 21:00,830.692,850.537,850.537,False
01-01 22:00,830.692,850.5370000000001,850.5370000000001,False
01-01 23:00,830.692,850.537,850.537,False
01-02 00:00,830.692,850.537,850.537,False
01-02 01:00,830.692,850.537,850.537,False
01-02 02:00,830.692,850.537,850.537,False
01-02 03:00,830.692,850.537,850.537,False
01-02 04:00,830.692,850.537,850.537,False
01-02 05:00,695.464,850.537,850.537,False
01-02 06:00,273.389,850.537,850.537,False
01-02 07:00,163.064,850.537,850.537,False
01-02 08:00,150.361,850.5369999999999,850.5369999999999,False
01-02 09:00,202.74,850.537,850.537,False
01-02 10:00,114.198,850.5369999999999,850.5369999999999,False
01-02 11:00,47.3029,850.537,850.537,False
01-02 12:00,35.017199999999995,779.5259148018486,779.5259148018486,False
01-02 13:00,36.4251,850.537,850.537,False
01-02 14:00,129.245,850.537,850.537,False
01-02 15:00,80.7367,850.537,850.537,False
01-02 16:00,50.520199999999996,850.537,850.537,False
01-02 17:00,137.947,850.537,850.537,False
01-02 18:00,170.152,850.537,850.537,False
01-02 19:00,156.74,850.537,850.537,False
01-02 20:00,177.019,850.537,850.537,False
01-02 21:00,348.837,850.537,850.537,False
01-02 22:00,338.423,850.537,850.537,False
01-02 23:00,489.099,850.537,850.537,False
01-03 00:00,563.646,850.537,850.537,False
01-03 01:00,669.594,850.537,850.537,False
01-03 02:00,827.49,850.537,850.537,False
01-03 03:00,830.692,850.537,850.537,False
01-03 04:00,830.692,850.537,850.537,False
01-03 05:00,829.224,850.537,850.537,False
01-03 06:00,828.57,850.537,850.537,False
01-03 07:00,830.692,850.5370000000001,850.5370000000001,False
01-03 08:00,830.692,850.537,850.537,False
01-03 09:00,830.692,850.537,850.537,False
01-03 10:00,830.692,850.537,850.537,False
01-03 11:00,830.692,850.537,850.537,False
01-03 12:00,830.692,850.5370000000001,850.5370000000001,False
01-03 13:00,830.692,850.537,850.537,False
01-03 14:00,830.692,850.537,850.537,False
01-03 15:00,830.692,850.537,850.537,False
01-03 16:00,830.692,850.537,850.537,False
01-03 17:00,830.692,850.537,850.537,False
01-03 18:00,830.692,0.0,0.0,False
01-03 19:00,830.692,850.537,850.537,False
01-03 20:00,830.692,850.537,850.537,False
01-03 21:00,830.692,850.537,850.537,False
01-03 22:00,806.684,850.537,850.537,False
01-03 23:00,356.189,850.537,850.537,False
01-04 00:00,541.393,850.537,850.537,False
01-04 01:00,589.88,850.537,850.537,False
01-04 02:00,830.692,850.537,850.537,False
01-04 03:00,830.692,850.537,850.537,False
01-04 04:00,830.692,850.537,850.537,False
01-04 05:00,830.692,850.537,850.537,False
01-04 06:00,830.692,850.537,850.537,False
01-04 07:00,830.692,850.537,850.537,False
01-04 08:00,700.821,850.537,850.537,False
01-04 09:00,271.189,850.537,850.537,False
01-04 10:00,172.051,850.537,850.537,False
01-04 11:00,321.67,850.537,850.537,False
01-04 12:00,205.201,850.537,850.537,False
01-04 13:00,458.811,850.537,850.537,False
01-04 14:00,285.386,850.537,850.537,False
01-04 15:00,63.2756,850.537,850.537,False
01-04 16:00,264.795,850.537,850.537,False
01-04 17:00,344.825,850.537,850.537,False
01-04 18:00,366.495,850.537,850.537,False
01-04 19:00,564.436,850.537,850.537,False
01-04 20:00,650.777,850.537,850.537,False
01-04 21:00,450.232,850.537,850.537,False
01-04 22:00,303.522,850.537,850.537,False
01-04 23:00,280.238,850.537,850.537,False
01-05 00:00,125.772,850.5369999999999,850.5369999999999,False
01-05 01:00,119.049,850.537,850.537,False
01-05 02:00,122.677,850.537,850.537,False
01-05 03:00,106.852,850.537,850.537,False
01-05 04:00,76.7949,850.537,850.537,False
01-05 05:00,94.0366,850.537,850.537,False
01-05 06:00,117.049,850.5370000000001,850.5370000000001,False
01-05 07:00,125.31,850.537,850.537,False
01-05 08:00,281.334,850.537,850.537,False
01-05 09:00,450.864,850.537,850.537,False
01-05 10:00,399.439,850.537,850.537,False
01-05 11:00,292.122,850.537,850.537,False
01-05 12:00,136.197,850.537,850.537,False
